Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-14 04:00:00-05:00,412.97,414.51,412.5,414.07,0,0.0,0.0
2025-01-14 05:00:00-05:00,413.99,414.19,412.49,412.61,0,0.0,0.0
2025-01-14 06:00:00-05:00,412.57,413.49,412.46,412.56,0,0.0,0.0
2025-01-14 07:00:00-05:00,412.56,413.34,407.71,409.14,0,0.0,0.0
2025-01-14 08:00:00-05:00,409.0,414.5,403.31,408.0,0,0.0,0.0
2025-01-14 09:00:00-05:00,408.07,416.5,383.26,414.44,0,0.0,0.0
2025-01-14 09:30:00-05:00,414.44000244140625,422.6400146484375,411.5820007324219,412.5635986328125,20965832,0.0,0.0
2025-01-14 10:30:00-05:00,412.57000732421875,413.3800048828125,404.25,407.6698913574219,10298026,0.0,0.0
2025-01-14 11:30:00-05:00,407.5,409.3598937988281,402.6700134277344,405.05120849609375,6042370,0.0,0.0
2025-01-14 12:30:00-05:00,405.09381103515625,408.989990234375,402.1600036621094,408.96600341796875,4715506,0.0,0.0
2025-01-14 13:30:00-05:00,409.0,411.80999755859375,408.4548034667969,410.2349853515625,4932801,0.0,0.0
2025-01-14 14:30:00-05:00,410.2900085449219,412.0,396.0002136230469,398.2099914550781,8944428,0.0,0.0
2025-01-14 15:30:00-05:00,398.20001220703125,399.04998779296875,394.5400085449219,396.2099914550781,5285307,0.0,0.0
2025-01-14 16:00:00-05:00,396.36,412.648,369.6616,396.13,0,0.0,0.0
2025-01-14 17:00:00-05:00,396.1268,396.36,393.31,394.8927,0,0.0,0.0
2025-01-14 18:00:00-05:00,394.945,395.45,393.0,394.8798,0,0.0,0.0
