Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-15 04:00:00-05:00,233.53,233.98,233.53,233.73,0,0.0,0.0
2025-01-15 05:00:00-05:00,233.71,233.82,233.66,233.72,0,0.0,0.0
2025-01-15 06:00:00-05:00,233.77,234.29,233.77,234.15,0,0.0,0.0
2025-01-15 07:00:00-05:00,234.18,234.62,233.8,233.87,0,0.0,0.0
2025-01-15 08:00:00-05:00,233.87,234.6162,233.1312,233.2985,0,0.0,0.0
2025-01-15 09:00:00-05:00,233.59,236.63,233.46,234.68,0,0.0,0.0
2025-01-15 09:30:00-05:00,234.63999938964844,238.38999938964844,234.42999267578125,237.92010498046875,8599650,0.0,0.0
2025-01-15 10:30:00-05:00,237.9600067138672,238.5399932861328,237.30999755859375,237.40069580078125,3705014,0.0,0.0
2025-01-15 11:30:00-05:00,237.39999389648438,237.5800018310547,236.5023956298828,237.11990356445312,2959584,0.0,0.0
2025-01-15 12:30:00-05:00,237.11500549316406,237.74000549316406,236.97000122070312,237.52999877929688,2206504,0.0,0.0
2025-01-15 13:30:00-05:00,237.52000427246094,237.75999450683594,237.25999450683594,237.5601043701172,1908254,0.0,0.0
2025-01-15 14:30:00-05:00,237.5800018310547,238.03419494628906,237.52000427246094,237.62120056152344,2782086,0.0,0.0
2025-01-15 15:30:00-05:00,237.6199951171875,238.47000122070312,237.38999938964844,237.85000610351562,4684385,0.0,0.0
2025-01-15 16:00:00-05:00,237.84,238.13,237.7,237.965,0,0.0,0.0
2025-01-15 17:00:00-05:00,238.0,238.4,237.87,238.26,0,0.0,0.0
2025-01-15 18:00:00-05:00,238.155,238.48,238.0,238.345,0,0.0,0.0
